description,date,organisation,location,link
PostGIS Essentials,10-11 November 2020,Astun Technology,Bristol,https://astuntechnology.com/training-courses/
Introduction to QGIS: Spatial Data and Spatial Analysis,10-11 & 17-18 November 2020,Geospatial Training Solutions & NCRM,Online,https://bit.ly/3gjdDWp
PostGIS DBA Essentials,12 November 2020,Astun Technology,Bristol,https://astuntechnology.com/training-courses/
GeoServer Essentials,24-25 November 2020,Astun Technology,Reading,https://astuntechnology.com/training-courses/
Geoserver Advanced,26 November 2020,Astun Technology,Reading,https://astuntechnology.com/training-courses/
PostGIS User,03 December 2020,thinkWhere,Online,https://www.thinkwhere.com/services/open-source-gis-training/
PostGIS Admin,04 December 2020,thinkWhere,Online,https://www.thinkwhere.com/services/open-source-gis-training/
QGIS Beginner,07 December 2020,thinkWhere,Online,https://www.thinkwhere.com/services/open-source-gis-training/
QGIS Fast Track,15 December 2020,thinkWhere,Online,https://www.thinkwhere.com/services/open-source-gis-training/
QGIS Beginner,14 January 2021,thinkWhere,Online,https://www.thinkwhere.com/services/open-source-gis-training/
QGIS Fast Track,15 February 2021,thinkWhere,Online,https://www.thinkwhere.com/services/open-source-gis-training/
QGIS Advanced,25 February 2021,thinkWhere,Online,https://www.thinkwhere.com/services/open-source-gis-training/
PostGIS User,11 March 2021,thinkWhere,Online,https://www.thinkwhere.com/services/open-source-gis-training/
PostGIS Admin,12 March 2021,thinkWhere,Online,https://www.thinkwhere.com/services/open-source-gis-training/
QGIS Beginner,25 March 2021,thinkWhere,Online,https://www.thinkwhere.com/services/open-source-gis-training/
QGIS Beginner,26 May 2021,thinkWhere,Online,https://www.thinkwhere.com/services/open-source-gis-training/
QGIS Fast Track,09 June 2021,thinkWhere,Online,https://www.thinkwhere.com/services/open-source-gis-training/
QGIS Advanced,21 June 2021,thinkWhere,Online,https://www.thinkwhere.com/services/open-source-gis-training/
PostGIS User,19 July 2021,thinkWhere,Online,https://www.thinkwhere.com/services/open-source-gis-training/
PostGIS Admin,20 July 2021,thinkWhere,Online,https://www.thinkwhere.com/services/open-source-gis-training/
QGIS Beginner,09 August 2021,thinkWhere,Online,https://www.thinkwhere.com/services/open-source-gis-training/
QGIS Beginner,14 October 2021,thinkWhere,Online,https://www.thinkwhere.com/services/open-source-gis-training/
QGIS Fast Track,12 November 2021,thinkWhere,Online,https://www.thinkwhere.com/services/open-source-gis-training/
QGIS Advanced,26 November 2021,thinkWhere,Online,https://www.thinkwhere.com/services/open-source-gis-training/
PostGIS User,02 December 2021,thinkWhere,Online,https://www.thinkwhere.com/services/open-source-gis-training/
PostGIS Admin,03 December 2021,thinkWhere,Online,https://www.thinkwhere.com/services/open-source-gis-training/
QGIS Beginner,08 December 2021,thinkWhere,Online,https://www.thinkwhere.com/services/open-source-gis-training/
